sku,name,category,color,price,image_url
u0000000051591,牛仔寬版襯衫(長袖),女裝襯衫上衣,灰色,NT$790,https://www.uniqlo.com/tw/hmall/test/u0000000051591/main/first/561/1.jpg
u0000000052272,牛津條紋寬版襯衫(長袖),女裝襯衫上衣,白色,NT$790,https://www.uniqlo.com/tw/hmall/test/u0000000052272/main/first/561/1.jpg
u0000000051905,泡泡瑪特 半開襟休閒上衣(長袖),女裝襯衫上衣,白色,NT$590,https://www.uniqlo.com/tw/hmall/test/u0000000051905/main/first/561/1.jpg
u0000000052016,法蘭絨寬版襯衫(長袖),女裝襯衫上衣,淺灰色,NT$790,https://www.uniqlo.com/tw/hmall/test/u0000000052016/main/first/561/1.jpg
u0000000052833,圓領T恤(短袖),女裝襯衫上衣,黑色,NT$390,https://www.uniqlo.com/tw/hmall/test/u0000000052833/main/first/561/1.jpg
u0000000051971,AIRism棉質T恤(短袖),女裝襯衫上衣,褐色,NT$190,https://www.uniqlo.com/tw/hmall/test/u0000000051971/main/first/561/1.jpg
u0000000052203,棉質條紋短版襯衫(長袖),女裝襯衫上衣,淺藍色,NT$790,https://www.uniqlo.com/tw/hmall/test/u0000000052203/main/first/561/1.jpg
u0000000051775,吉卜力工作室 印花休閒上衣(長袖),女裝襯衫上衣,淡粉色,NT$990,https://www.uniqlo.com/tw/hmall/test/u0000000051775/main/first/561/1.jpg
u0000000051772,吉卜力工作室 印花休閒上衣(長袖),女裝襯衫上衣,白色,NT$990,https://www.uniqlo.com/tw/hmall/test/u0000000051772/main/first/561/1.jpg
u0000000020296,KAWS + Warhol 印花休閒上衣(長袖),女裝襯衫上衣,黑色,NT$290,https://www.uniqlo.com/tw/hmall/test/u0000000020296/main/first/561/1.jpg
u0000000051603,T2CLASSIC/粗紡T恤(短袖),女裝襯衫上衣,白色,NT$290,https://www.uniqlo.com/tw/hmall/test/u0000000051603/main/first/561/1.jpg
u0000000052136,PEANUTS 印花休閒上衣(長袖),女裝襯衫上衣,橘色,NT$990,https://www.uniqlo.com/tw/hmall/test/u0000000052136/main/first/561/1.jpg
u0000000051146,府綢寬版襯衫(短袖)(條紋),女裝襯衫上衣,灰色,NT$590,https://www.uniqlo.com/tw/hmall/test/u0000000051146/main/first/561/1.jpg
u0000000052280,休閒側線長褲,女裝襯衫上衣,白色,NT$590,https://www.uniqlo.com/tw/hmall/test/u0000000052280/main/first/561/1.jpg
u0000000051569,嫘縈開領上衣(七分袖),女裝襯衫上衣,軍綠色,NT$790,https://www.uniqlo.com/tw/hmall/test/u0000000051569/main/first/561/1.jpg
u0000000052727,ZOOTOPIA 印花休閒上衣(長袖),女裝襯衫上衣,深灰色,NT$990,https://www.uniqlo.com/tw/hmall/test/u0000000052727/main/first/561/1.jpg
u0000000052010,休閒長褲,女裝襯衫上衣,白色,NT$790,https://www.uniqlo.com/tw/hmall/test/u0000000052010/main/first/561/1.jpg
u0000000052892,休閒上衣(長袖),女裝襯衫上衣,淺灰色,NT$790,https://www.uniqlo.com/tw/hmall/test/u0000000052892/main/first/561/1.jpg
u0000000050684,特級亞麻條紋襯衫(長袖),男裝襯衫上衣,淺灰色,NT$990,https://www.uniqlo.com/tw/hmall/test/u0000000050684/main/first/561/1.jpg
u0000000051831,府綢襯衫(長袖)(格紋),男裝襯衫上衣,深灰色,NT$990,https://www.uniqlo.com/tw/hmall/test/u0000000051831/main/first/561/1.jpg
u0000000051800,特級抗皺合身襯衫(長袖)(鈕釦領/條紋),男裝襯衫上衣,淺灰色,NT$1290,https://www.uniqlo.com/tw/hmall/test/u0000000051800/main/first/561/1.jpg
u0000000052133,PEANUTS 印花休閒上衣(長袖),男裝襯衫上衣,白色,NT$990,https://www.uniqlo.com/tw/hmall/test/u0000000052133/main/first/561/1.jpg
u0000000051571,DRY-EX T恤(短袖)(印花),男裝襯衫上衣,深灰色,NT$590,https://www.uniqlo.com/tw/hmall/test/u0000000051571/main/first/561/1.jpg
u0000000050694,木代爾棉質印花開領襯衫(短袖),男裝襯衫上衣,白色,NT$390,https://www.uniqlo.com/tw/hmall/test/u0000000050694/main/first/561/1.jpg
u0000000052021,法蘭絨寬版襯衫(長袖)(格紋),男裝襯衫上衣,黑色,NT$790,https://www.uniqlo.com/tw/hmall/test/u0000000052021/main/first/561/1.jpg
u0000000052421,DRY-EX T恤(短袖)(印花),男裝襯衫上衣,淺藍色,NT$290,https://www.uniqlo.com/tw/hmall/test/u0000000052421/main/first/561/1.jpg
u0000000052828,特級抗皺合身襯衫(長袖)(標準領),男裝襯衫上衣,黑色,NT$1290,https://www.uniqlo.com/tw/hmall/test/u0000000052828/main/first/561/1.jpg
u0000000052000,法蘭絨襯衫(長袖/格紋),男裝襯衫上衣,米色,NT$990,https://www.uniqlo.com/tw/hmall/test/u0000000052000/main/first/561/1.jpg
u0000000050759,DRY網眼POLO衫(短袖),男裝襯衫上衣,淺灰色,NT$390,https://www.uniqlo.com/tw/hmall/test/u0000000050759/main/first/561/1.jpg
u0000000052253,牛津條紋寬版襯衫(長袖),男裝襯衫上衣,白色,NT$790,https://www.uniqlo.com/tw/hmall/test/u0000000052253/main/first/561/1.jpg
u0000000052403,燈芯絨寬版襯衫(長袖),男裝襯衫上衣,卡其色,NT$1290,https://www.uniqlo.com/tw/hmall/test/u0000000052403/main/first/561/1.jpg
u0000000052555,刷毛半開襟休閒上衣(長袖),男裝襯衫上衣,深灰色,NT$990,https://www.uniqlo.com/tw/hmall/test/u0000000052555/main/first/561/1.jpg
u0000000050462,府綢寬版襯衫(長袖)(條紋),男裝襯衫上衣,白色,NT$1290,https://www.uniqlo.com/tw/hmall/test/u0000000050462/main/first/561/1.jpg
u0000000051255,DRY-EX T恤(短袖)(印花),男裝襯衫上衣,深灰色,NT$590,https://www.uniqlo.com/tw/hmall/test/u0000000051255/main/first/561/1.jpg
u0000000051411,AIRism棉質網眼POLO衫(短袖),男裝襯衫上衣,白色,NT$790,https://www.uniqlo.com/tw/hmall/test/u0000000051411/main/first/561/1.jpg
u0000000052301,柔軟針織刷毛圓領T恤(長袖),男裝襯衫上衣,褐色,NT$590,https://www.uniqlo.com/tw/hmall/test/u0000000052301/main/first/561/1.jpg
u0000000052013,法蘭絨襯衫(長袖/格紋),男裝襯衫上衣,黑色,NT$990,https://www.uniqlo.com/tw/hmall/test/u0000000052013/main/first/561/1.jpg
u0000000050699,棉麻襯衫(短袖),男裝襯衫上衣,淺灰色,NT$590,https://www.uniqlo.com/tw/hmall/test/u0000000050699/main/first/561/1.jpg
u0000000052017,法蘭絨襯衫(長袖/格紋),男裝襯衫上衣,深灰色,NT$990,https://www.uniqlo.com/tw/hmall/test/u0000000052017/main/first/561/1.jpg
u0000000050470,府綢襯衫(長袖)(鈕釦領),男裝襯衫上衣,白色,NT$990,https://www.uniqlo.com/tw/hmall/test/u0000000050470/main/first/561/1.jpg
u0000000052380,磨毛棉質開領寬版襯衫(長袖)(格紋),男裝襯衫上衣,黑色,NT$1290,https://www.uniqlo.com/tw/hmall/test/u0000000052380/main/first/561/1.jpg
u0000000052040,工裝寬版襯衫(長袖),男裝襯衫上衣,灰色,NT$990,https://www.uniqlo.com/tw/hmall/test/u0000000052040/main/first/561/1.jpg
u0000000050630,圓領T恤(短袖),男裝襯衫上衣,深灰色,NT$390,https://www.uniqlo.com/tw/hmall/test/u0000000050630/main/first/561/1.jpg
u0000000050366,垂墜感牛仔寬褲(稍長),女裝褲子,白色,NT$590,https://www.uniqlo.com/tw/hmall/test/u0000000050366/main/first/561/1.jpg
u0000000053018,EZY牛仔褲,女裝褲子,黑色,NT$1290,https://www.uniqlo.com/tw/hmall/test/u0000000053018/main/first/561/1.jpg
u0000000052763,繭型褲,女裝褲子,淺灰色,NT$1290,https://www.uniqlo.com/tw/hmall/test/u0000000052763/main/first/561/1.jpg
u0000000050292,直筒牛仔寬褲(稍長),女裝褲子,白色,NT$1290,https://www.uniqlo.com/tw/hmall/test/u0000000050292/main/first/561/1.jpg
u0000000051847,合身喇叭牛仔褲,女裝褲子,黑色,NT$1290,https://www.uniqlo.com/tw/hmall/test/u0000000051847/main/first/561/1.jpg
u0000000052761,繭型褲(稍長),女裝褲子,黑色,NT$1290,https://www.uniqlo.com/tw/hmall/test/u0000000052761/main/first/561/1.jpg
u0000000050276,直筒牛仔寬褲,女裝褲子,白色,NT$1290,https://www.uniqlo.com/tw/hmall/test/u0000000050276/main/first/561/1.jpg
u0000000052715,直筒牛仔褲,女裝褲子,白色,NT$1290,https://www.uniqlo.com/tw/hmall/test/u0000000052715/main/first/561/1.jpg
u0000000051849,特級彈性緊身九分牛仔褲,女裝褲子,白色,NT$590,https://www.uniqlo.com/tw/hmall/test/u0000000051849/main/first/561/1.jpg
u0000000052787,繭型牛仔褲(稍長),女裝褲子,白色,NT$1290,https://www.uniqlo.com/tw/hmall/test/u0000000052787/main/first/561/1.jpg
u0000000051828,繭型牛仔褲,女裝褲子,白色,NT$1290,https://www.uniqlo.com/tw/hmall/test/u0000000051828/main/first/561/1.jpg
